id	pathway_id	pathway_name
23889	hsa04020	Calcium signaling pathway
23890	hsa04060	Cytokine-cytokine receptor interaction
23891	hsa04062	Chemokine signaling pathway
23892	hsa04144	Endocytosis
23893	hsa04360	Axon guidance
23894	hsa04670	Leukocyte transendothelial migration
23895	hsa04672	Intestinal immune network for IgA production
23896	hsa04810	Regulation of actin cytoskeleton
23897	hsa05163	Human cytomegalovirus infection
23898	hsa05170	Human immunodeficiency virus 1 infection
23899	hsa05200	Pathways in cancer
23900	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
23901	hsa01100	Metabolic pathways
23902	hsa00590	Arachidonic acid metabolism
23903	hsa00790	Folate biosynthesis
23904	hsa00980	Metabolism of xenobiotics by cytochrome P450
23905	hsa01100	Metabolic pathways
23906	hsa05204	Chemical carcinogenesis
23907	hsa05202	Transcriptional misregulation in cancer
23908	hsa00100	Steroid biosynthesis
23909	hsa01100	Metabolic pathways
23910	hsa05205	Proteoglycans in cancer
23911	hsa00190	Oxidative phosphorylation
23912	hsa01100	Metabolic pathways
23913	hsa04714	Thermogenesis
23914	hsa04723	Retrograde endocannabinoid signaling
23915	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
23916	hsa05010	Alzheimer disease
23917	hsa05012	Parkinson disease
23918	hsa05016	Huntington disease
23919	hsa00190	Oxidative phosphorylation
23920	hsa01100	Metabolic pathways
23921	hsa04714	Thermogenesis
23922	hsa04723	Retrograde endocannabinoid signaling
23923	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
23924	hsa05010	Alzheimer disease
23925	hsa05012	Parkinson disease
23926	hsa05016	Huntington disease
23927	hsa00510	N-Glycan biosynthesis
23928	hsa01100	Metabolic pathways
23929	hsa04141	Protein processing in endoplasmic reticulum
23930	hsa00510	N-Glycan biosynthesis
23931	hsa01100	Metabolic pathways
23932	hsa04141	Protein processing in endoplasmic reticulum
23933	hsa05202	Transcriptional misregulation in cancer
23934	hsa04962	Vasopressin-regulated water reabsorption
23935	hsa04962	Vasopressin-regulated water reabsorption
23936	hsa03008	Ribosome biogenesis in eukaryotes
23937	hsa04130	SNARE interactions in vesicular transport
23938	hsa04721	Synaptic vesicle cycle
23939	hsa01523	Antifolate resistance
23940	hsa04010	MAPK signaling pathway
23941	hsa04014	Ras signaling pathway
23942	hsa04024	cAMP signaling pathway
23943	hsa04062	Chemokine signaling pathway
23944	hsa04064	NF-kappa B signaling pathway
23945	hsa04066	HIF-1 signaling pathway
23946	hsa04071	Sphingolipid signaling pathway
23947	hsa04151	PI3K-Akt signaling pathway
23948	hsa04210	Apoptosis
23949	hsa04211	Longevity regulating pathway
23950	hsa04218	Cellular senescence
23951	hsa04380	Osteoclast differentiation
23952	hsa04620	Toll-like receptor signaling pathway
23953	hsa04621	NOD-like receptor signaling pathway
23954	hsa04622	RIG-I-like receptor signaling pathway
23955	hsa04623	Cytosolic DNA-sensing pathway
23956	hsa04625	C-type lectin receptor signaling pathway
23957	hsa04657	IL-17 signaling pathway
23958	hsa04658	Th1 and Th2 cell differentiation
23959	hsa04659	Th17 cell differentiation
23960	hsa04660	T cell receptor signaling pathway
23961	hsa04662	B cell receptor signaling pathway
23962	hsa04668	TNF signaling pathway
23963	hsa04722	Neurotrophin signaling pathway
23964	hsa04917	Prolactin signaling pathway
23965	hsa04920	Adipocytokine signaling pathway
23966	hsa04926	Relaxin signaling pathway
23967	hsa04931	Insulin resistance
23968	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
23969	hsa04933	AGE-RAGE signaling pathway in diabetic complications
23970	hsa05030	Cocaine addiction
23971	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
23972	hsa05131	Shigellosis
23973	hsa05132	Salmonella infection
23974	hsa05133	Pertussis
23975	hsa05134	Legionellosis
23976	hsa05140	Leishmaniasis
23977	hsa05142	Chagas disease (American trypanosomiasis)
23978	hsa05145	Toxoplasmosis
23979	hsa05146	Amoebiasis
23980	hsa05152	Tuberculosis
23981	hsa05160	Hepatitis C
23982	hsa05161	Hepatitis B
23983	hsa05162	Measles
23984	hsa05163	Human cytomegalovirus infection
23985	hsa05164	Influenza A
23986	hsa05165	Human papillomavirus infection
23987	hsa05166	Human T-cell leukemia virus 1 infection
23988	hsa05167	Kaposi sarcoma-associated herpesvirus infection
23989	hsa05168	Herpes simplex virus 1 infection
23990	hsa05169	Epstein-Barr virus infection
23991	hsa05170	Human immunodeficiency virus 1 infection
23992	hsa05200	Pathways in cancer
23993	hsa05202	Transcriptional misregulation in cancer
23994	hsa05203	Viral carcinogenesis
23995	hsa05206	MicroRNAs in cancer
23996	hsa05212	Pancreatic cancer
23997	hsa05215	Prostate cancer
23998	hsa05220	Chronic myeloid leukemia
23999	hsa05221	Acute myeloid leukemia
24000	hsa05222	Small cell lung cancer
24001	hsa05321	Inflammatory bowel disease (IBD)
24002	hsa05418	Fluid shear stress and atherosclerosis
24003	hsa00514	Other types of O-glycan biosynthesis
24004	hsa04931	Insulin resistance
24005	hsa00600	Sphingolipid metabolism
24006	hsa01100	Metabolic pathways
24007	hsa04071	Sphingolipid signaling pathway
24008	hsa04145	Phagosome
24009	hsa04210	Apoptosis
24010	hsa04530	Tight junction
24011	hsa04540	Gap junction
24012	hsa05130	Pathogenic Escherichia coli infection
24013	hsa00970	Aminoacyl-tRNA biosynthesis
24014	hsa04110	Cell cycle
24015	hsa04114	Oocyte meiosis
24016	hsa04110	Cell cycle
24017	hsa04114	Oocyte meiosis
24018	hsa04110	Cell cycle
24019	hsa04114	Oocyte meiosis
24020	hsa04110	Cell cycle
24021	hsa04115	p53 signaling pathway
24022	hsa04960	Aldosterone-regulated sodium reabsorption
24023	hsa04216	Ferroptosis
24024	hsa04216	Ferroptosis
24025	hsa04144	Endocytosis
24026	hsa04064	NF-kappa B signaling pathway
24027	hsa04072	Phospholipase D signaling pathway
24028	hsa04151	PI3K-Akt signaling pathway
24029	hsa04380	Osteoclast differentiation
24030	hsa04611	Platelet activation
24031	hsa04625	C-type lectin receptor signaling pathway
24032	hsa04650	Natural killer cell mediated cytotoxicity
24033	hsa04662	B cell receptor signaling pathway
24034	hsa04664	Fc epsilon RI signaling pathway
24035	hsa04666	Fc gamma R-mediated phagocytosis
24036	hsa05152	Tuberculosis
24037	hsa05167	Kaposi sarcoma-associated herpesvirus infection
24038	hsa05168	Herpes simplex virus 1 infection
24039	hsa05169	Epstein-Barr virus infection
24040	hsa05203	Viral carcinogenesis
24041	hsa04151	PI3K-Akt signaling pathway
24042	hsa04510	Focal adhesion
24043	hsa04512	ECM-receptor interaction
24044	hsa05145	Toxoplasmosis
24045	hsa05146	Amoebiasis
24046	hsa05165	Human papillomavirus infection
24047	hsa05200	Pathways in cancer
24048	hsa05222	Small cell lung cancer
24049	hsa04142	Lysosome
24050	hsa00100	Steroid biosynthesis
24051	hsa01100	Metabolic pathways
24052	hsa04145	Phagosome
24053	hsa05152	Tuberculosis
24054	hsa04020	Calcium signaling pathway
24055	hsa04022	cGMP-PKG signaling pathway
24056	hsa04024	cAMP signaling pathway
24057	hsa04261	Adrenergic signaling in cardiomyocytes
24058	hsa04925	Aldosterone synthesis and secretion
24059	hsa04961	Endocrine and other factor-regulated calcium reabsorption
24060	hsa04970	Salivary secretion
24061	hsa04972	Pancreatic secretion
24062	hsa04978	Mineral absorption
24063	hsa04015	Rap1 signaling pathway
24064	hsa04925	Aldosterone synthesis and secretion
24065	hsa04141	Protein processing in endoplasmic reticulum
24066	hsa04213	Longevity regulating pathway - multiple species
24067	hsa04350	TGF-beta signaling pathway
24068	hsa04550	Signaling pathways regulating pluripotency of stem cells
24069	hsa04350	TGF-beta signaling pathway
24070	hsa04550	Signaling pathways regulating pluripotency of stem cells
24071	hsa04350	TGF-beta signaling pathway
24072	hsa04550	Signaling pathways regulating pluripotency of stem cells
24073	hsa04060	Cytokine-cytokine receptor interaction
24074	hsa04115	p53 signaling pathway
24075	hsa04210	Apoptosis
24076	hsa04217	Necroptosis
24077	hsa04650	Natural killer cell mediated cytotoxicity
24078	hsa05164	Influenza A
24079	hsa04060	Cytokine-cytokine receptor interaction
24080	hsa04115	p53 signaling pathway
24081	hsa04210	Apoptosis
24082	hsa04217	Necroptosis
24083	hsa04650	Natural killer cell mediated cytotoxicity
24084	hsa05164	Influenza A
24085	hsa04010	MAPK signaling pathway
24086	hsa04120	Ubiquitin mediated proteolysis
24087	hsa00910	Nitrogen metabolism
24088	hsa04964	Proximal tubule bicarbonate reclamation
24089	hsa04966	Collecting duct acid secretion
24090	hsa04971	Gastric acid secretion
24091	hsa04972	Pancreatic secretion
24092	hsa04976	Bile secretion
24093	hsa03020	RNA polymerase
24094	hsa04623	Cytosolic DNA-sensing pathway
24095	hsa05016	Huntington disease
24096	hsa00190	Oxidative phosphorylation
24097	hsa01100	Metabolic pathways
24098	hsa04714	Thermogenesis
24099	hsa04723	Retrograde endocannabinoid signaling
24100	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
24101	hsa05010	Alzheimer disease
24102	hsa05012	Parkinson disease
24103	hsa05016	Huntington disease
24104	hsa04010	MAPK signaling pathway
24105	hsa04064	NF-kappa B signaling pathway
24106	hsa04068	FoxO signaling pathway
24107	hsa04110	Cell cycle
24108	hsa04115	p53 signaling pathway
24109	hsa04210	Apoptosis
24110	hsa04218	Cellular senescence
24111	hsa05169	Epstein-Barr virus infection
24112	hsa05200	Pathways in cancer
24113	hsa05202	Transcriptional misregulation in cancer
24114	hsa05210	Colorectal cancer
24115	hsa05212	Pancreatic cancer
24116	hsa05213	Endometrial cancer
24117	hsa05214	Glioma
24118	hsa05216	Thyroid cancer
24119	hsa05217	Basal cell carcinoma
24120	hsa05218	Melanoma
24121	hsa05220	Chronic myeloid leukemia
24122	hsa05222	Small cell lung cancer
24123	hsa05223	Non-small cell lung cancer
24124	hsa05224	Breast cancer
24125	hsa05225	Hepatocellular carcinoma
24126	hsa05226	Gastric cancer
24127	hsa04010	MAPK signaling pathway
24128	hsa04064	NF-kappa B signaling pathway
24129	hsa04068	FoxO signaling pathway
24130	hsa04110	Cell cycle
24131	hsa04115	p53 signaling pathway
24132	hsa04210	Apoptosis
24133	hsa04218	Cellular senescence
24134	hsa05169	Epstein-Barr virus infection
24135	hsa05200	Pathways in cancer
24136	hsa05202	Transcriptional misregulation in cancer
24137	hsa05210	Colorectal cancer
24138	hsa05212	Pancreatic cancer
24139	hsa05213	Endometrial cancer
24140	hsa05214	Glioma
24141	hsa05216	Thyroid cancer
24142	hsa05217	Basal cell carcinoma
24143	hsa05218	Melanoma
24144	hsa05220	Chronic myeloid leukemia
24145	hsa05222	Small cell lung cancer
24146	hsa05223	Non-small cell lung cancer
24147	hsa05224	Breast cancer
24148	hsa05225	Hepatocellular carcinoma
24149	hsa05226	Gastric cancer
24150	hsa04621	NOD-like receptor signaling pathway
24151	hsa05206	MicroRNAs in cancer
24152	hsa04145	Phagosome
24153	hsa04514	Cell adhesion molecules (CAMs)
24154	hsa04612	Antigen processing and presentation
24155	hsa04640	Hematopoietic cell lineage
24156	hsa04658	Th1 and Th2 cell differentiation
24157	hsa04659	Th17 cell differentiation
24158	hsa04672	Intestinal immune network for IgA production
24159	hsa04940	Type I diabetes mellitus
24160	hsa05140	Leishmaniasis
24161	hsa05145	Toxoplasmosis
24162	hsa05150	Staphylococcus aureus infection
24163	hsa05152	Tuberculosis
24164	hsa05164	Influenza A
24165	hsa05166	Human T-cell leukemia virus 1 infection
24166	hsa05168	Herpes simplex virus 1 infection
24167	hsa05169	Epstein-Barr virus infection
24168	hsa05310	Asthma
24169	hsa05320	Autoimmune thyroid disease
24170	hsa05321	Inflammatory bowel disease (IBD)
24171	hsa05322	Systemic lupus erythematosus
24172	hsa05323	Rheumatoid arthritis
24173	hsa05330	Allograft rejection
24174	hsa05332	Graft-versus-host disease
24175	hsa05416	Viral myocarditis
24176	hsa03015	mRNA surveillance pathway
24177	hsa05134	Legionellosis
24178	hsa03015	mRNA surveillance pathway
24179	hsa05134	Legionellosis
24180	hsa03015	mRNA surveillance pathway
24181	hsa05134	Legionellosis
24182	hsa03020	RNA polymerase
24183	hsa04623	Cytosolic DNA-sensing pathway
24184	hsa00230	Purine metabolism
24185	hsa01522	Endocrine resistance
24186	hsa04015	Rap1 signaling pathway
24187	hsa04020	Calcium signaling pathway
24188	hsa04022	cGMP-PKG signaling pathway
24189	hsa04024	cAMP signaling pathway
24190	hsa04062	Chemokine signaling pathway
24191	hsa04072	Phospholipase D signaling pathway
24192	hsa04114	Oocyte meiosis
24193	hsa04211	Longevity regulating pathway
24194	hsa04213	Longevity regulating pathway - multiple species
24195	hsa04261	Adrenergic signaling in cardiomyocytes
24196	hsa04270	Vascular smooth muscle contraction
24197	hsa04371	Apelin signaling pathway
24198	hsa04540	Gap junction
24199	hsa04611	Platelet activation
24200	hsa04713	Circadian entrainment
24201	hsa04714	Thermogenesis
24202	hsa04723	Retrograde endocannabinoid signaling
24203	hsa04724	Glutamatergic synapse
24204	hsa04725	Cholinergic synapse
24205	hsa04727	GABAergic synapse
24206	hsa04740	Olfactory transduction
24207	hsa04750	Inflammatory mediator regulation of TRP channels
24208	hsa04911	Insulin secretion
24209	hsa04912	GnRH signaling pathway
24210	hsa04913	Ovarian steroidogenesis
24211	hsa04914	Progesterone-mediated oocyte maturation
24212	hsa04915	Estrogen signaling pathway
24213	hsa04916	Melanogenesis
24214	hsa04918	Thyroid hormone synthesis
24215	hsa04921	Oxytocin signaling pathway
24216	hsa04923	Regulation of lipolysis in adipocytes
24217	hsa04925	Aldosterone synthesis and secretion
24218	hsa04926	Relaxin signaling pathway
24219	hsa04927	Cortisol synthesis and secretion
24220	hsa04928	Parathyroid hormone synthesis, secretion and action
24221	hsa04934	Cushing syndrome
24222	hsa04962	Vasopressin-regulated water reabsorption
24223	hsa04970	Salivary secretion
24224	hsa04971	Gastric acid secretion
24225	hsa04972	Pancreatic secretion
24226	hsa04976	Bile secretion
24227	hsa05032	Morphine addiction
24228	hsa05110	Vibrio cholerae infection
24229	hsa05163	Human cytomegalovirus infection
24230	hsa05166	Human T-cell leukemia virus 1 infection
24231	hsa05200	Pathways in cancer
24232	hsa05414	Dilated cardiomyopathy (DCM)
24233	hsa00230	Purine metabolism
24234	hsa01522	Endocrine resistance
24235	hsa04015	Rap1 signaling pathway
24236	hsa04020	Calcium signaling pathway
24237	hsa04022	cGMP-PKG signaling pathway
24238	hsa04024	cAMP signaling pathway
24239	hsa04062	Chemokine signaling pathway
24240	hsa04072	Phospholipase D signaling pathway
24241	hsa04114	Oocyte meiosis
24242	hsa04211	Longevity regulating pathway
24243	hsa04213	Longevity regulating pathway - multiple species
24244	hsa04261	Adrenergic signaling in cardiomyocytes
24245	hsa04270	Vascular smooth muscle contraction
24246	hsa04371	Apelin signaling pathway
24247	hsa04540	Gap junction
24248	hsa04611	Platelet activation
24249	hsa04713	Circadian entrainment
24250	hsa04714	Thermogenesis
24251	hsa04723	Retrograde endocannabinoid signaling
24252	hsa04724	Glutamatergic synapse
24253	hsa04725	Cholinergic synapse
24254	hsa04727	GABAergic synapse
24255	hsa04740	Olfactory transduction
24256	hsa04750	Inflammatory mediator regulation of TRP channels
24257	hsa04911	Insulin secretion
24258	hsa04912	GnRH signaling pathway
24259	hsa04913	Ovarian steroidogenesis
24260	hsa04914	Progesterone-mediated oocyte maturation
24261	hsa04915	Estrogen signaling pathway
24262	hsa04916	Melanogenesis
24263	hsa04918	Thyroid hormone synthesis
24264	hsa04921	Oxytocin signaling pathway
24265	hsa04923	Regulation of lipolysis in adipocytes
24266	hsa04925	Aldosterone synthesis and secretion
24267	hsa04926	Relaxin signaling pathway
24268	hsa04927	Cortisol synthesis and secretion
24269	hsa04928	Parathyroid hormone synthesis, secretion and action
24270	hsa04934	Cushing syndrome
24271	hsa04962	Vasopressin-regulated water reabsorption
24272	hsa04970	Salivary secretion
24273	hsa04971	Gastric acid secretion
24274	hsa04972	Pancreatic secretion
24275	hsa04976	Bile secretion
24276	hsa05032	Morphine addiction
24277	hsa05110	Vibrio cholerae infection
24278	hsa05163	Human cytomegalovirus infection
24279	hsa05166	Human T-cell leukemia virus 1 infection
24280	hsa05200	Pathways in cancer
24281	hsa05414	Dilated cardiomyopathy (DCM)
24282	hsa04722	Neurotrophin signaling pathway
24283	hsa04010	MAPK signaling pathway
24284	hsa05200	Pathways in cancer
24285	hsa05202	Transcriptional misregulation in cancer
24286	hsa05222	Small cell lung cancer
24287	hsa04010	MAPK signaling pathway
24288	hsa05200	Pathways in cancer
24289	hsa05202	Transcriptional misregulation in cancer
24290	hsa05222	Small cell lung cancer
24291	hsa04137	Mitophagy - animal
24292	hsa04140	Autophagy - animal
24293	hsa04150	mTOR signaling pathway
24294	hsa04152	AMPK signaling pathway
24295	hsa04211	Longevity regulating pathway
24296	hsa04350	TGF-beta signaling pathway
24297	hsa05205	Proteoglycans in cancer
24298	hsa03008	Ribosome biogenesis in eukaryotes
24299	hsa00520	Amino sugar and nucleotide sugar metabolism
24300	hsa01100	Metabolic pathways
24301	hsa01523	Antifolate resistance
24302	hsa04010	MAPK signaling pathway
24303	hsa04014	Ras signaling pathway
24304	hsa04062	Chemokine signaling pathway
24305	hsa04064	NF-kappa B signaling pathway
24306	hsa04068	FoxO signaling pathway
24307	hsa04150	mTOR signaling pathway
24308	hsa04151	PI3K-Akt signaling pathway
24309	hsa04210	Apoptosis
24310	hsa04380	Osteoclast differentiation
24311	hsa04620	Toll-like receptor signaling pathway
24312	hsa04621	NOD-like receptor signaling pathway
24313	hsa04622	RIG-I-like receptor signaling pathway
24314	hsa04623	Cytosolic DNA-sensing pathway
24315	hsa04625	C-type lectin receptor signaling pathway
24316	hsa04657	IL-17 signaling pathway
24317	hsa04658	Th1 and Th2 cell differentiation
24318	hsa04659	Th17 cell differentiation
24319	hsa04660	T cell receptor signaling pathway
24320	hsa04662	B cell receptor signaling pathway
24321	hsa04668	TNF signaling pathway
24322	hsa04722	Neurotrophin signaling pathway
24323	hsa04910	Insulin signaling pathway
24324	hsa04920	Adipocytokine signaling pathway
24325	hsa04930	Type II diabetes mellitus
24326	hsa04931	Insulin resistance
24327	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
24328	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
24329	hsa05131	Shigellosis
24330	hsa05142	Chagas disease (American trypanosomiasis)
24331	hsa05145	Toxoplasmosis
24332	hsa05160	Hepatitis C
24333	hsa05161	Hepatitis B
24334	hsa05162	Measles
24335	hsa05163	Human cytomegalovirus infection
24336	hsa05164	Influenza A
24337	hsa05165	Human papillomavirus infection
24338	hsa05166	Human T-cell leukemia virus 1 infection
24339	hsa05167	Kaposi sarcoma-associated herpesvirus infection
24340	hsa05168	Herpes simplex virus 1 infection
24341	hsa05169	Epstein-Barr virus infection
24342	hsa05170	Human immunodeficiency virus 1 infection
24343	hsa05200	Pathways in cancer
24344	hsa05206	MicroRNAs in cancer
24345	hsa05212	Pancreatic cancer
24346	hsa05215	Prostate cancer
24347	hsa05220	Chronic myeloid leukemia
24348	hsa05221	Acute myeloid leukemia
24349	hsa05222	Small cell lung cancer
24350	hsa05418	Fluid shear stress and atherosclerosis
24351	hsa01523	Antifolate resistance
24352	hsa04010	MAPK signaling pathway
24353	hsa04014	Ras signaling pathway
24354	hsa04062	Chemokine signaling pathway
24355	hsa04064	NF-kappa B signaling pathway
24356	hsa04068	FoxO signaling pathway
24357	hsa04150	mTOR signaling pathway
24358	hsa04151	PI3K-Akt signaling pathway
24359	hsa04210	Apoptosis
24360	hsa04380	Osteoclast differentiation
24361	hsa04620	Toll-like receptor signaling pathway
24362	hsa04621	NOD-like receptor signaling pathway
24363	hsa04622	RIG-I-like receptor signaling pathway
24364	hsa04623	Cytosolic DNA-sensing pathway
24365	hsa04625	C-type lectin receptor signaling pathway
24366	hsa04657	IL-17 signaling pathway
24367	hsa04658	Th1 and Th2 cell differentiation
24368	hsa04659	Th17 cell differentiation
24369	hsa04660	T cell receptor signaling pathway
24370	hsa04662	B cell receptor signaling pathway
24371	hsa04668	TNF signaling pathway
24372	hsa04722	Neurotrophin signaling pathway
24373	hsa04910	Insulin signaling pathway
24374	hsa04920	Adipocytokine signaling pathway
24375	hsa04930	Type II diabetes mellitus
24376	hsa04931	Insulin resistance
24377	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
24378	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
24379	hsa05131	Shigellosis
24380	hsa05142	Chagas disease (American trypanosomiasis)
24381	hsa05145	Toxoplasmosis
24382	hsa05160	Hepatitis C
24383	hsa05161	Hepatitis B
24384	hsa05162	Measles
24385	hsa05163	Human cytomegalovirus infection
24386	hsa05164	Influenza A
24387	hsa05165	Human papillomavirus infection
24388	hsa05166	Human T-cell leukemia virus 1 infection
24389	hsa05167	Kaposi sarcoma-associated herpesvirus infection
24390	hsa05168	Herpes simplex virus 1 infection
24391	hsa05169	Epstein-Barr virus infection
24392	hsa05170	Human immunodeficiency virus 1 infection
24393	hsa05200	Pathways in cancer
24394	hsa05206	MicroRNAs in cancer
24395	hsa05212	Pancreatic cancer
24396	hsa05215	Prostate cancer
24397	hsa05220	Chronic myeloid leukemia
24398	hsa05221	Acute myeloid leukemia
24399	hsa05222	Small cell lung cancer
24400	hsa05418	Fluid shear stress and atherosclerosis
24401	hsa04260	Cardiac muscle contraction
24402	hsa04261	Adrenergic signaling in cardiomyocytes
24403	hsa05410	Hypertrophic cardiomyopathy (HCM)
24404	hsa05414	Dilated cardiomyopathy (DCM)
24405	hsa00562	Inositol phosphate metabolism
24406	hsa01100	Metabolic pathways
24407	hsa04070	Phosphatidylinositol signaling system
24408	hsa00562	Inositol phosphate metabolism
24409	hsa01100	Metabolic pathways
24410	hsa04070	Phosphatidylinositol signaling system
24411	hsa04658	Th1 and Th2 cell differentiation
24412	hsa05202	Transcriptional misregulation in cancer
24413	hsa05321	Inflammatory bowel disease (IBD)
24414	hsa04658	Th1 and Th2 cell differentiation
24415	hsa05202	Transcriptional misregulation in cancer
24416	hsa05321	Inflammatory bowel disease (IBD)
24417	hsa03440	Homologous recombination
24418	hsa03450	Non-homologous end-joining
24419	hsa04218	Cellular senescence
24420	hsa05166	Human T-cell leukemia virus 1 infection
24421	hsa04915	Estrogen signaling pathway
24422	hsa04060	Cytokine-cytokine receptor interaction
24423	hsa05168	Herpes simplex virus 1 infection
24424	hsa00561	Glycerolipid metabolism
24425	hsa00564	Glycerophospholipid metabolism
24426	hsa00565	Ether lipid metabolism
24427	hsa00600	Sphingolipid metabolism
24428	hsa01100	Metabolic pathways
24429	hsa04072	Phospholipase D signaling pathway
24430	hsa04666	Fc gamma R-mediated phagocytosis
24431	hsa04975	Fat digestion and absorption
24432	hsa05231	Choline metabolism in cancer
24433	hsa04137	Mitophagy - animal
24434	hsa03022	Basal transcription factors
24435	hsa01521	EGFR tyrosine kinase inhibitor resistance
24436	hsa01522	Endocrine resistance
24437	hsa01524	Platinum drug resistance
24438	hsa04012	ErbB signaling pathway
24439	hsa04014	Ras signaling pathway
24440	hsa04022	cGMP-PKG signaling pathway
24441	hsa04024	cAMP signaling pathway
24442	hsa04062	Chemokine signaling pathway
24443	hsa04140	Autophagy - animal
24444	hsa04151	PI3K-Akt signaling pathway
24445	hsa04210	Apoptosis
24446	hsa04370	VEGF signaling pathway
24447	hsa04510	Focal adhesion
24448	hsa04722	Neurotrophin signaling pathway
24449	hsa04910	Insulin signaling pathway
24450	hsa04919	Thyroid hormone signaling pathway
24451	hsa05010	Alzheimer disease
24452	hsa05014	Amyotrophic lateral sclerosis (ALS)
24453	hsa05145	Toxoplasmosis
24454	hsa05152	Tuberculosis
24455	hsa05160	Hepatitis C
24456	hsa05161	Hepatitis B
24457	hsa05162	Measles
24458	hsa05165	Human papillomavirus infection
24459	hsa05168	Herpes simplex virus 1 infection
24460	hsa05170	Human immunodeficiency virus 1 infection
24461	hsa05200	Pathways in cancer
24462	hsa05203	Viral carcinogenesis
24463	hsa05210	Colorectal cancer
24464	hsa05211	Renal cell carcinoma
24465	hsa05212	Pancreatic cancer
24466	hsa05213	Endometrial cancer
24467	hsa05215	Prostate cancer
24468	hsa05218	Melanoma
24469	hsa05220	Chronic myeloid leukemia
24470	hsa05221	Acute myeloid leukemia
24471	hsa05223	Non-small cell lung cancer
24472	hsa05225	Hepatocellular carcinoma
24473	hsa00590	Arachidonic acid metabolism
24474	hsa01100	Metabolic pathways
24475	hsa04146	Peroxisome
24476	hsa04650	Natural killer cell mediated cytotoxicity
24477	hsa04650	Natural killer cell mediated cytotoxicity
24478	hsa04145	Phagosome
24479	hsa04540	Gap junction
24480	hsa05130	Pathogenic Escherichia coli infection
24481	hsa03420	Nucleotide excision repair
24482	hsa01523	Antifolate resistance
24483	hsa02010	ABC transporters
24484	hsa03040	Spliceosome
24485	hsa03020	RNA polymerase
24486	hsa04623	Cytosolic DNA-sensing pathway
24487	hsa04010	MAPK signaling pathway
24488	hsa04141	Protein processing in endoplasmic reticulum
24489	hsa04210	Apoptosis
24490	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
24491	hsa05202	Transcriptional misregulation in cancer
24492	hsa03015	mRNA surveillance pathway
24493	hsa03320	PPAR signaling pathway
24494	hsa04072	Phospholipase D signaling pathway
24495	hsa04140	Autophagy - animal
24496	hsa04150	mTOR signaling pathway
24497	hsa04151	PI3K-Akt signaling pathway
24498	hsa04152	AMPK signaling pathway
24499	hsa04211	Longevity regulating pathway
24500	hsa04218	Cellular senescence
24501	hsa04714	Thermogenesis
24502	hsa04910	Insulin signaling pathway
24503	hsa05163	Human cytomegalovirus infection
24504	hsa05165	Human papillomavirus infection
24505	hsa05168	Herpes simplex virus 1 infection
24506	hsa05231	Choline metabolism in cancer
24507	hsa00510	N-Glycan biosynthesis
24508	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
24509	hsa01100	Metabolic pathways
24510	hsa00565	Ether lipid metabolism
24511	hsa01521	EGFR tyrosine kinase inhibitor resistance
24512	hsa03013	RNA transport
24513	hsa04066	HIF-1 signaling pathway
24514	hsa04150	mTOR signaling pathway
24515	hsa04151	PI3K-Akt signaling pathway
24516	hsa04211	Longevity regulating pathway
24517	hsa04910	Insulin signaling pathway
24518	hsa00620	Pyruvate metabolism
24519	hsa01200	Carbon metabolism
24520	hsa00780	Biotin metabolism
24521	hsa01100	Metabolic pathways
24522	hsa04141	Protein processing in endoplasmic reticulum
24523	hsa04150	mTOR signaling pathway
24524	hsa04150	mTOR signaling pathway
24525	hsa04142	Lysosome
24526	hsa00052	Galactose metabolism
24527	hsa00510	N-Glycan biosynthesis
24528	hsa00514	Other types of O-glycan biosynthesis
24529	hsa00515	Mannose type O-glycan biosynthesis
24530	hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate
24531	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series
24532	hsa01100	Metabolic pathways
24533	hsa04110	Cell cycle
24534	hsa04120	Ubiquitin mediated proteolysis
24535	hsa04914	Progesterone-mediated oocyte maturation
24536	hsa04110	Cell cycle
24537	hsa04120	Ubiquitin mediated proteolysis
24538	hsa04914	Progesterone-mediated oocyte maturation
24539	hsa04110	Cell cycle
24540	hsa04120	Ubiquitin mediated proteolysis
24541	hsa04914	Progesterone-mediated oocyte maturation
24542	hsa03013	RNA transport
24543	hsa03013	RNA transport
24544	hsa00600	Sphingolipid metabolism
24545	hsa01100	Metabolic pathways
24546	hsa04071	Sphingolipid signaling pathway
24547	hsa04142	Lysosome
24548	hsa04217	Necroptosis
24549	hsa01524	Platinum drug resistance
24550	hsa03430	Mismatch repair
24551	hsa05200	Pathways in cancer
24552	hsa05210	Colorectal cancer
24553	hsa00120	Primary bile acid biosynthesis
